m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
171, 148095, 2182, 1398, 865, 1426, 1362, 21
172, 87457, 2238, 1394, 175, 1396, 1374, 6
173, 404757, 2108, 1394, 175, 1398, 1380, 5
174, 43383, 2018, 1394, 176, 1402, 1380, 6
175, 85432, 2074, 1394, 177, 1402, 1380, 6
176, 98337, 2319, 1394, 178, 1402, 1380, 6
177, 561682, 2282, 1394, 179, 1402, 1380, 6
178, 85019, 2274, 1342, 179, 1346, 1332, 3
179, 1742028, 2266, 1394, 181, 1402, 1380, 6
180, 132432, 2102, 1434, 181, 1438, 1434, 3
181, 737524, 2302, 1490, 364, 1494, 1482, 5
182, 89322, 2194, 1558, 3141, 1580, 1446, 55
183, 111986, 2312, 1490, 368, 1502, 1482, 6
184, 572522, 2298, 1394, 186, 1402, 1380, 6
185, 46228, 1964, 1490, 372, 1502, 1482, 6
186, 582203, 2386, 1462, 187, 1466, 1452, 3
187, 691492, 2274, 1558, 8878, 1586, 1464, 55
188, 149118, 2374, 1558, 1332, 1570, 1500, 23
189, 34914, 2131, 1558, 193, 1562, 1508, 8
190, 134076, 2323, 1542, 767, 1606, 1510, 18
191, 55528, 2374, 1394, 193, 1402, 1380, 6
192, 346316, 2374, 1542, 37825, 1564, 1526, 17
193, 235370, 2302, 1394, 195, 1402, 1380, 6
194, 515789, 2342, 1576, 390, 1576, 1552, 5
195, 330022, 2406, 1606, 197, 1606, 1560, 4
196, 471118, 2402, 1342, 197, 1346, 1332, 3
197, 38342, 2342, 1614, 796, 1622, 1590, 10
198, 501286, 2418, 1810, 600, 1816, 1794, 10
199, 352071, 2490, 1730, 400, 1734, 1722, 5
200, 88690, 2382, 1394, 202, 1402, 1380, 6
201, 194723, 2526, 1614, 406, 1622, 1584, 9
202, 2155947, 2638, 1730, 406, 1734, 1722, 5
203, 105600, 2342, 1394, 205, 1402, 1380, 6
204, 578880, 2566, 1394, 206, 1402, 1380, 6
205, 331158, 2538, 1730, 412, 1734, 1722, 5
206, 231118, 2436, 1394, 208, 1402, 1380, 6
207, 770339, 2721, 1394, 209, 1402, 1380, 6
208, 239993, 2630, 1394, 210, 1402, 1380, 6
209, 522343, 2594, 1810, 633, 1816, 1794, 10
210, 512233, 2814, 1394, 212, 1402, 1380, 6
211, 979783, 2650, 1688, 1, 1688, 1688, 1
212, 528869, 2638, 1614, 856, 1622, 1584, 10
213, 1702961, 2804, 1702, 214, 1706, 1692, 3
214, 32932, 2504, 1614, 864, 1622, 1590, 10
215, 2687443, 2770, 1342, 216, 1346, 1332, 3
216, 328240, 2726, 1342, 217, 1346, 1332, 3
217, 624355, 2731, 1394, 219, 1402, 1380, 6
218, 469475, 2638, 1342, 219, 1346, 1332, 3
219, 69174, 2521, 1342, 220, 1346, 1332, 3
220, 901164, 2866, 1342, 221, 1346, 1332, 3
221, 530844, 2691, 1394, 223, 1402, 1380, 6
222, 60850, 2503, 1614, 896, 1622, 1584, 10
223, 675905, 2896, 1614, 900, 1622, 1590, 10
224, 70652, 2822, 1614, 904, 1622, 1584, 12
225, 1124866, 2944, 1394, 227, 1402, 1380, 6
226, 3153959, 2866, 1614, 912, 1622, 1584, 10
227, 1853230, 2878, 1394, 229, 1402, 1380, 6
228, 421281, 2758, 1346, 229, 1346, 1332, 3
229, 246944, 2759, 1614, 924, 1622, 1584, 10
230, 4008242, 3062, 1394, 232, 1402, 1380, 6
231, 93454, 2518, 1402, 233, 1402, 1380, 6
232, 1509839, 3022, 1346, 233, 1346, 1332, 3
233, 692734, 3204, 1346, 234, 1346, 1332, 3
234, 802345, 2974, 1402, 236, 1402, 1380, 6
235, 1730132, 3014, 1702, 236, 1706, 1692, 3
236, 3210214, 3062, 1402, 238, 1402, 1380, 6
237, 3478515, 3156, 1402, 239, 1402, 1380, 6
238, 463963, 2931, 1402, 240, 1402, 1380, 6
239, 497925, 3154, 1402, 241, 1402, 1380, 6
240, 844399, 3058, 1402, 242, 1402, 1380, 6
241, 960706, 3088, 1402, 243, 1402, 1380, 6
242, 1335494, 3118, 1622, 976, 1622, 1590, 10
243, 1690106, 3364, 1402, 245, 1402, 1380, 6
244, 1450694, 3156, 1622, 984, 1622, 1590, 10
245, 190589, 2935, 1402, 247, 1402, 1380, 6
246, 69415, 2719, 1702, 247, 1706, 1692, 3
247, 1127887, 3136, 1402, 249, 1402, 1380, 6
248, 257913, 3286, 1402, 250, 1402, 1380, 6
249, 404233, 2918, 1402, 251, 1402, 1380, 6
250, 66933, 2933, 1402, 252, 1402, 1380, 6
251, 326688, 3149, 1402, 253, 1402, 1380, 6
252, 3533912, 3544, 1622, 1016, 1622, 1590, 10
253, 1643347, 3508, 1402, 255, 1402, 1380, 6
254, 1022349, 3284, 1402, 256, 1402, 1380, 6
255, 94515, 2954, 1402, 257, 1402, 1380, 6
256, 463044, 3316, 1402, 258, 1402, 1380, 6
257, 122013, 3106, 1402, 259, 1402, 1380, 6
258, 3747175, 3516, 1622, 1040, 1622, 1590, 10
259, 151322, 3478, 1622, 1044, 1622, 1584, 12
260, 718194, 3386, 1882, 522, 1894, 1856, 7
261, 1797764, 3482, 1346, 262, 1346, 1332, 3
262, 291409, 3452, 1402, 264, 1402, 1380, 6
263, 642305, 3609, 1346, 264, 1346, 1332, 3
264, 57620, 2634, 1622, 1064, 1622, 1590, 10
265, 100323, 3286, 1402, 267, 1402, 1380, 6
266, 63552, 2725, 1346, 267, 1346, 1332, 3
267, 626402, 3494, 2042, 268, 2042, 2028, 4
268, 474808, 3418, 1402, 270, 1402, 1380, 6
269, 426646, 3478, 1402, 271, 1402, 1380, 6
270, 2800195, 3594, 1402, 272, 1402, 1380, 6
271, 1838156, 3586, 1346, 272, 1346, 1332, 3
272, 4560800, 3662, 1622, 1096, 1622, 1590, 10
273, 804929, 3382, 2230, 551, 2234, 2204, 11
274, 18256, 3554, 1622, 1104, 1622, 1590, 10
275, 194528, 3153, 1622, 1108, 1622, 1584, 10
276, 1090619, 3418, 1402, 278, 1402, 1380, 6
277, 1538567, 3776, 1346, 278, 1346, 1332, 3
278, 1561106, 3646, 1402, 280, 1402, 1380, 6
279, 53280, 2994, 1622, 1124, 1622, 1590, 10
280, 527690, 3922, 2248, 844, 2290, 2240, 10
281, 572893, 3637, 1402, 283, 1402, 1380, 6
282, 883126, 3693, 2042, 283, 2042, 2028, 4
283, 46618, 3209, 1346, 284, 1346, 1332, 3
284, 1919372, 3838, 1346, 285, 1346, 1332, 3
285, 1854632, 3643, 2630, 286, 2630, 2622, 3
286, 695557, 3820, 1402, 288, 1402, 1380, 6
287, 3062221, 4375, 1402, 289, 1402, 1380, 6
288, 284095, 3687, 2042, 289, 2042, 2028, 4
289, 770498, 3658, 2042, 290, 2042, 2028, 4
290, 1347556, 3962, 2630, 291, 2630, 2622, 3
291, 203872, 3646, 1622, 1172, 1622, 1590, 10
292, 2962468, 3868, 2042, 293, 2042, 2028, 4
293, 758932, 3646, 1622, 1180, 1622, 1590, 10
294, 3181758, 4084, 2630, 295, 2630, 2622, 3
295, 766049, 3958, 2374, 594, 2374, 2350, 10
296, 1286825, 3868, 2374, 596, 2374, 2350, 9
297, 386868, 3858, 2630, 298, 2630, 2622, 3
298, 622180, 3742, 2634, 300, 2638, 2618, 7
299, 62822, 3056, 1346, 300, 1346, 1332, 3
300, 502985, 3670, 2374, 604, 2374, 2350, 9
301, 270130, 4018, 2374, 302, 2374, 2366, 3
302, 793169, 3852, 2634, 304, 2642, 2618, 8
303, 1444749, 3902, 2374, 610, 2374, 2350, 10
304, 350293, 3851, 2374, 612, 2374, 2350, 9
305, 172406, 4072, 2042, 306, 2042, 2028, 4
306, 359749, 3853, 2630, 307, 2630, 2622, 3
307, 3035354, 4375, 2634, 309, 2638, 2618, 7
308, 1244221, 4092, 2630, 309, 2630, 2622, 3
309, 555346, 3938, 2630, 310, 2630, 2622, 3
310, 883824, 4071, 2630, 311, 2630, 2622, 3
311, 324041, 3849, 2630, 312, 2630, 2622, 3
312, 519382, 3847, 2374, 628, 2374, 2350, 9
313, 818323, 4198, 2630, 314, 2630, 2622, 3
314, 5675748, 4375, 2630, 315, 2630, 2622, 3
315, 2211790, 4156, 2630, 316, 2630, 2622, 3
316, 579108, 4076, 2630, 317, 2630, 2622, 3
