signature_id,distinct_count,cycle_min,cycle_max,signature_hash,value_set_id,value_set_hash,size,representative_m,member_m_list
381,4,2028,2042,aaa10a57043c36c7,94,846137c8606a2c77,1,382,382
382,4,2624,2638,46713d6c84967bd7,103,9d8cb7c2d421b364,1,383,383
383,4,2624,2638,40f0f3e833549083,103,9d8cb7c2d421b364,1,384,384
384,8,2618,2642,dc68330edd9a7b7c,102,d9b72fe9cece512d,1,385,385
385,10,2350,2374,9032fd2e0c598b8d,98,cb4c5de470ba3a91,1,386,386
386,8,2618,2642,91ce6fb29ca97cdd,102,d9b72fe9cece512d,1,387,387
387,4,2028,2042,7e4de5480238bb3a,94,846137c8606a2c77,1,388,388
388,4,2624,2638,ff37ca1463f78d20,103,9d8cb7c2d421b364,1,389,389
389,4,2624,2638,471200fa153911dd,103,9d8cb7c2d421b364,1,390,390
390,4,2028,2042,359886af83376540,94,846137c8606a2c77,1,391,391
391,10,2350,2374,80395c33536ce167,98,cb4c5de470ba3a91,1,392,392
392,4,2028,2042,461a2ef996d60bd4,94,846137c8606a2c77,1,393,393
393,4,2624,2638,8a73209655fa665d,103,9d8cb7c2d421b364,1,394,394
394,4,2028,2042,41c65f692f3018b5,94,846137c8606a2c77,1,395,395
395,3,2366,2374,67022f7a1b1f9c64,101,275b0fc0eefb9622,1,396,396
396,5,2624,2638,e15dc4310f928742,106,e8f7791cc840982e,1,397,397
397,9,2350,2374,bc766aff01d92ae5,99,be6cf9f5daa1b46d,1,398,398
398,4,2624,2638,b1bea49867172201,103,9d8cb7c2d421b364,1,399,399
399,4,2624,2638,171cedf6cbfd62f8,103,9d8cb7c2d421b364,1,400,400
400,3,2366,2374,4749bd220dbf537c,101,275b0fc0eefb9622,1,401,401
401,4,2624,2638,1360578ba0ea88b1,103,9d8cb7c2d421b364,1,402,402
402,3,2366,2374,6a4fed71a24bf6b4,101,275b0fc0eefb9622,1,403,403
403,9,2350,2374,854f010a9716db70,99,be6cf9f5daa1b46d,1,404,404
404,4,2624,2638,e47824b7e718b63b,103,9d8cb7c2d421b364,1,405,405
405,9,2350,2374,41f5e5c488f76185,99,be6cf9f5daa1b46d,1,406,406
406,4,2624,2638,6679532ba43328b1,103,9d8cb7c2d421b364,1,407,407
407,3,2366,2374,bed029cdbfdeb478,101,275b0fc0eefb9622,1,408,408
408,4,2028,2042,6e4371e815f55c30,94,846137c8606a2c77,1,409,409
409,5,2624,2638,6ea6855b951c582b,106,e8f7791cc840982e,1,410,410
410,3,2366,2374,1364ea58c2c7cc8f,101,275b0fc0eefb9622,1,411,411
411,4,2624,2638,3dbfaed7308b1440,103,9d8cb7c2d421b364,1,412,412
412,4,2624,2638,19ea20f7a64b9fe1,103,9d8cb7c2d421b364,1,413,413
413,9,2350,2374,fe33dd000a25bf1d,99,be6cf9f5daa1b46d,1,414,414
414,4,2028,2042,0455d5310aed17f5,94,846137c8606a2c77,1,415,415
415,9,2350,2374,a5f2900e31e1484b,99,be6cf9f5daa1b46d,1,416,416
416,4,2624,2638,b63f4f20b236f933,103,9d8cb7c2d421b364,1,417,417
417,7,2616,2642,db1976d81f72b027,104,12d30bc0239fccad,1,418,418
418,5,2624,2638,d906f8702a6406a6,106,e8f7791cc840982e,1,419,419
419,7,2616,2642,f4067ce8f8d00c0b,104,12d30bc0239fccad,1,420,420
420,4,2028,2042,69d75d76a034af80,94,846137c8606a2c77,1,421,421
421,4,2624,2638,9dbd52fb30efa3e0,103,9d8cb7c2d421b364,1,422,422
422,3,2366,2374,a5c837e3503a03fc,101,275b0fc0eefb9622,1,423,423
423,8,2618,2642,0b4af02382dbff7c,102,d9b72fe9cece512d,1,424,424
424,3,2366,2374,340707f7e7600a43,101,275b0fc0eefb9622,1,425,425
425,4,2624,2638,64c3cb37dba0671b,103,9d8cb7c2d421b364,1,426,426
426,4,2028,2042,97a8ea594b79626e,94,846137c8606a2c77,1,427,427
427,9,2616,2642,062caa99d7d97955,107,84ea91db6dfe0ca3,1,428,428
428,7,2616,2642,9a86cbfef554c2a3,104,12d30bc0239fccad,1,429,429
429,3,2512,2518,8aa19fa8d26cf5e3,108,6f44aaced26c24bb,1,430,430
430,5,2624,2638,c0fdbb2ca7000567,106,e8f7791cc840982e,1,431,431
431,8,2618,2642,0699151b4f9be542,102,d9b72fe9cece512d,1,432,432
432,5,2624,2638,9ee958d232022bc7,106,e8f7791cc840982e,1,433,433
433,4,2028,2042,05428f36a0515e6e,94,846137c8606a2c77,1,434,434
434,8,2618,2642,13c94d96ff1bd09c,102,d9b72fe9cece512d,1,435,435
435,9,2350,2374,18c37f4416b6d416,99,be6cf9f5daa1b46d,1,436,436
436,10,2350,2374,1b6bf82d46a15256,98,cb4c5de470ba3a91,1,437,437
437,4,2624,2638,01023c3cb220db84,103,9d8cb7c2d421b364,1,438,438
438,10,2350,2374,2556361f0591f23e,98,cb4c5de470ba3a91,1,439,439
439,9,2350,2374,24418380acce9f32,99,be6cf9f5daa1b46d,1,440,440
440,4,2624,2638,70dbd7970a789486,103,9d8cb7c2d421b364,1,441,441
441,9,2350,2374,86d49e00a8303559,99,be6cf9f5daa1b46d,1,442,442
442,4,2028,2042,f08d57bb91db6ba5,94,846137c8606a2c77,1,443,443
443,10,2350,2374,e0e8b6c3e877ba4e,98,cb4c5de470ba3a91,1,444,444
444,4,2624,2638,ce37387bc5e01247,103,9d8cb7c2d421b364,1,445,445
445,4,2028,2042,daaf177b3ce57693,94,846137c8606a2c77,1,446,446
446,10,2350,2374,d930f0693c2f2fca,98,cb4c5de470ba3a91,1,447,447
447,10,2350,2374,70151ee4159d5ad6,98,cb4c5de470ba3a91,1,448,448
448,4,2624,2638,48cfc73611dc7833,103,9d8cb7c2d421b364,1,449,449
449,4,2624,2638,b28e7ae3e8aa0c37,103,9d8cb7c2d421b364,1,450,450
450,5,2624,2638,cb1d24fd07e8f3d1,106,e8f7791cc840982e,1,451,451
451,7,2616,2642,442708f07429c7c1,104,12d30bc0239fccad,1,452,452
452,3,2366,2374,74cfd668ef12bf56,101,275b0fc0eefb9622,1,453,453
453,5,2624,2638,f1070c7e47c3bb2e,106,e8f7791cc840982e,1,454,454
454,10,2350,2374,7adbffa1b6967c74,98,cb4c5de470ba3a91,1,455,455
455,3,2512,2518,1b9f234e917f7ab4,108,6f44aaced26c24bb,1,456,456
456,4,2624,2638,199e4baf098e8e62,103,9d8cb7c2d421b364,1,457,457
457,4,2624,2638,3202365e3742cc6c,103,9d8cb7c2d421b364,1,458,458
458,3,2366,2374,56a32b70f8690f09,101,275b0fc0eefb9622,1,459,459
459,7,2616,2642,60379ea4dda1f774,104,12d30bc0239fccad,1,460,460
460,4,2624,2638,8b4ec502adebed6a,103,9d8cb7c2d421b364,1,461,461
461,4,2624,2638,55953084d818152c,103,9d8cb7c2d421b364,1,462,462
462,4,2028,2042,a70bab96cb50f289,94,846137c8606a2c77,1,463,463
463,4,2624,2638,6389f7ae1862cac1,103,9d8cb7c2d421b364,1,464,464
464,5,2624,2638,d432cbebe6b767f4,106,e8f7791cc840982e,1,465,465
465,4,2624,2638,d95441ac80708ebb,103,9d8cb7c2d421b364,1,466,466
466,4,2624,2638,ea28a8aaab812734,103,9d8cb7c2d421b364,1,467,467
467,5,2624,2638,8cf5168ee281c6f3,106,e8f7791cc840982e,1,468,468
468,4,2624,2638,3a0405fad306984a,103,9d8cb7c2d421b364,1,469,469
469,4,2624,2638,d8e79d35cc27f446,103,9d8cb7c2d421b364,1,470,470
470,8,2618,2642,c484a8c1f8625553,102,d9b72fe9cece512d,1,471,471
471,7,2616,2642,4cdf461851205c35,104,12d30bc0239fccad,1,472,472
472,5,2624,2638,fc8b5b9f07ad24ae,106,e8f7791cc840982e,1,473,473
473,4,2624,2638,8fea1d8c22ecd810,103,9d8cb7c2d421b364,1,474,474
474,7,2616,2642,2dde69ee8b2e7b8f,104,12d30bc0239fccad,1,475,475
475,83,3750,3918,8411efc254635a94,109,de936bbc1016a906,1,476,476
476,4,2624,2638,4d70fbfbb561e8d6,103,9d8cb7c2d421b364,1,477,477
477,4,2624,2638,163bb0c4ea42df25,103,9d8cb7c2d421b364,1,478,478
478,5,2624,2638,443f92e93b7839ad,106,e8f7791cc840982e,1,479,479
