m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
8,1461,14810653766814832028,0,96,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,739,85257577044866303,0,116,47,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
49,789,13323527689741253112,0,1014,768,50,300,314,4,300;306;310;314
8,1462,14216567959895056155,0,112,131,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,740,7877138177823941403,0,112,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,289,9035439360280816039,0,954,292,27,150,166,5,150;156;158;164;166
8,1463,10131007788702572735,0,49,45,10,30,41,5,30;35;36;39;41
8,741,11735952822043620971,0,52,41,27,28,41,8,28;32;33;34;36;37;39;41
25,595,9139001618213229677,0,1533,489,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
8,1464,6760862713805348603,0,50,55,9,48,52,2,48;52
8,742,2228273159300298992,0,84,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
16,603,3648655770671163641,0,627,191,287,66,82,8,66;68;70;72;74;76;78;82
49,1113,2396038882898501124,0,3330,1180,51,392,406,4,392;396;402;406
49,790,6398543656806765898,0,1020,1400,50,350,358,4,350;354;356;358
8,1465,9269947938404081342,0,134,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,743,1748311752325139896,0,61,43,27,28,41,8,28;32;33;34;36;37;39;41
16,604,1375974114767859285,0,134,202,17,112,118,4,112;114;116;118
49,327,15542432996788316263,0,1353,1565,50,350,358,4,350;354;356;358
25,1331,4902315337419327384,0,3123,262,27,150,166,5,150;156;158;164;166
8,1466,2648537569161925535,0,45,41,27,28,41,8,28;32;33;34;36;37;39;41
25,290,18370073886347373686,0,999,471,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
8,744,11591841478743727409,0,97,57,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
49,622,11907643980568187025,0,4673,993,51,392,406,4,392;396;402;406
125,1025,4679186895647648049,0,20104,2835,6426,810,838,9,810;812;818;820;822;824;828;834;838
8,1467,5330671157529354573,0,32,81,9,32,34,2,32;34
8,745,216629758705049724,0,105,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
49,1114,12774544562299321750,0,781,1111,50,350,358,4,350;354;356;358
25,596,15435694887531255280,0,1103,236,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
8,1468,6008612448747691326,0,144,68,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,291,1465686378018892011,0,418,316,26,112,118,3,112;114;118
16,605,26341802497520762,0,796,285,34,76,82,4,76;78;80;82
8,746,8493599349217678570,0,116,70,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,1469,13789001402540168433,0,107,50,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
16,606,3836011619823006722,0,122,118,17,112,118,4,112;114;116;118
8,747,488556819789201564,0,49,67,27,28,41,8,28;32;33;34;36;37;39;41
8,1470,9149432102873922491,0,122,88,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
125,508,11986345885124464900,0,17855,3757,126,762,766,3,762;764;766
16,607,15873523364212665249,0,184,118,17,112,118,3,112;114;118
8,748,2704270540060546640,0,113,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
