m,x,q
1043,37548,36
1045,100320,96
1046,18828,18
1047,25128,24
1048,16768,16
1048,37728,36
1049,8392,8
1049,12588,12
1050,126000,120
1050,151200,144
1051,8408,8
1051,12612,12
1052,21040,20
1052,25248,24
1054,42160,40
1054,50592,48
1055,37980,36
1056,76032,72
1056,84480,80
1057,38052,36
1058,38088,36
1059,25416,24
1060,33920,32
1060,63600,60
1060,76320,72
1061,8488,8
1061,12732,12
1062,50976,48
1063,8504,8
1063,12756,12
1066,42640,40
1066,51168,48
1067,38412,36
1068,34176,32
1068,64080,60
1069,8552,8
1069,12828,12
1070,51360,48
1071,102816,96
1072,30016,28
1073,38628,36
1074,42960,40
1075,77400,72
1076,21520,20
1076,25824,24
1077,25848,24
1078,129360,120
1079,38844,36
1080,97200,90
1081,38916,36
1082,19476,18
1083,38988,36
1084,21680,20
1084,26016,24
1085,104160,96
1086,43440,40
1087,8696,8
1087,13044,12
1088,43520,40
1090,52320,48
1091,8728,8
1091,13092,12
1092,104832,96
1093,8744,8
1093,13116,12
1094,19692,18
1096,17536,16
1096,39456,36
1097,8776,8
1097,13164,12
1098,52704,48
1099,39564,36
1100,105600,96
1101,26424,24
1102,44080,40
1102,52896,48
1103,8824,8
1103,13236,12
1104,92736,84
1105,106080,96
1106,44240,40
1106,53088,48
1107,39852,36
1107,66420,60
1107,88560,80
1108,22160,20
1108,26592,24
1109,8872,8
1109,13308,12
1110,71040,64
1111,39996,36
1112,17792,16
1112,40032,36
1113,89040,80
1114,20052,18
1115,40140,36
1117,8936,8
1117,13404,12
1118,44720,40
1118,53664,48
1119,26856,24
1120,141120,126
1121,40356,36
1122,71808,64
1122,134640,120
1123,8984,8
1123,13476,12
1124,22480,20
1124,26976,24
1125,67500,60
1125,108000,96
1126,20268,18
1127,81144,72
1128,54144,48
1128,63168,56
1129,9032,8
1129,13548,12
1130,54240,48
1131,90480,80
1132,22640,20
1132,27168,24
1133,40788,36
1134,136080,120
1135,40860,36
1136,31808,28
1137,27288,24
1138,20484,18
1139,41004,36
1140,109440,96
1140,127680,112
1141,41076,36
1142,20556,18
1144,64064,56
1145,41220,36
1146,45840,40
1147,41292,36
1148,36736,32
1148,82656,72
1149,27576,24
1150,46000,40
1151,9208,8
1151,13812,12
1152,55296,48
1152,62208,54
1152,103680,90
1153,9224,8
1153,13836,12
1154,20772,18
1155,147840,128
1156,69360,60
1157,41652,36
1158,46320,40
1159,41724,36
1160,64960,56
1160,104400,90
1161,41796,36
1161,69660,60
1161,92880,80
1162,46480,40
1162,55776,48
1163,9304,8
1163,13956,12
1164,37248,32
1164,69840,60
1165,41940,36
1166,46640,40
1166,55968,48
1167,28008,24
1168,32704,28
1169,42084,36
1170,105300,90
1170,140400,120
1171,9368,8
1171,14052,12
1172,23440,20
1172,28128,24
1173,93840,80
1174,21132,18
1175,84600,72
1176,65856,56
1177,42372,36
1178,47120,40
1178,56544,48
1180,37760,32
1180,70800,60
1180,84960,72
1181,9448,8
1181,14172,12
1182,47280,40
1183,85176,72
1186,21348,18
1187,9496,8
1187,14244,12
1188,85536,72
1188,133056,112
1188,142560,120
1189,42804,36
1190,76160,64
1190,142800,120
1190,171360,144
1191,28584,24
1192,19072,16
1192,42912,36
1193,9544,8
1193,14316,12
1194,47760,40
1195,43020,36
1196,38272,32
1196,86112,72
1197,114912,96
1198,21564,18
1199,43164,36
1200,90000,75
1201,9608,8
1201,14412,12
1202,21636,18
1203,28872,24
1204,38528,32
1204,86688,72
1205,43380,36
1206,57888,48
1207,43452,36
1208,19328,16
1208,43488,36
1209,96720,80
1211,43596,36
1212,38784,32
1212,72720,60
1213,9704,8
1213,14556,12
1214,21852,18
1215,102060,84
1216,48640,40
1217,9736,8
1217,14604,12
1218,77952,64
1218,146160,120
1219,43884,36
1220,39040,32
1220,73200,60
1220,87840,72
1221,97680,80
1222,48880,40
1222,58656,48
1223,9784,8
1223,14676,12
1225,132300,108
1226,22068,18
1227,29448,24
1228,24560,20
1228,29472,24
1229,9832,8
1229,14748,12
1230,78720,64
1231,9848,8
1231,14772,12
1232,103488,84
1234,22212,18
1235,118560,96
1236,39552,32
1236,74160,60
1237,9896,8
1237,14844,12
1238,22284,18
1239,99120,80
1240,69440,56
1240,111600,90
1241,44676,36
1242,79488,64
1243,44748,36
1244,24880,20
1244,29856,24
1246,49840,40
1246,59808,48
1247,44892,36
1248,89856,72
1248,99840,80
1249,9992,8
1249,14988,12
1252,25040,20
1252,30048,24
1253,45108,36
1254,80256,64
1254,150480,120
1255,45180,36
1256,20096,16
1256,45216,36
1257,30168,24
1258,50320,40
1258,60384,48
1259,10072,8
1259,15108,12
1261,45396,36
1262,22716,18
1263,30312,24
1264,35392,28
1265,121440,96
1266,50640,40
1267,45612,36
1268,25360,20
1268,30432,24
1269,45684,36
1269,76140,60
1269,101520,80
1270,60960,48
1271,45756,36
1272,61056,48
1272,71232,56
1273,45828,36
1274,152880,120
1275,102000,80
1276,40832,32
1276,91872,72
1277,10216,8
1277,15324,12
1278,61344,48
1279,10232,8
1279,15348,12
1280,56320,44
1280,92160,72
1280,115200,90
1281,102480,80
1282,23076,18
1283,10264,8
1283,15396,12
1284,41088,32
1284,77040,60
1285,46260,36
1286,23148,18
1287,123552,96
1289,10312,8
1289,15468,12
1290,82560,64
1291,10328,8
1291,15492,12
1292,41344,32
1292,93024,72
1293,31032,24
1294,23292,18
1295,124320,96
1296,108864,84
